Email,Phone_Number,First_name,Last_name,UserName,Password,Birth_Date,Loyalty_Points
tthacke0@mayoclinic.com,74254860,Timi,Thacke,tthacke0,cR7*>2ApeZF,2/28/2001,93
sguillotin1@cbslocal.com,26482753,Simmonds,Guillotin,sguillotin1,mF3)QpcBJ,2/15/2001,9
ljablonski2@1und1.de,33220495,Lucine,Jablonski,ljablonski2,"eS6""rZdry&Vz",11/26/2000,43
tpaddle3@symantec.com,62031348,Tanitansy,Paddle,tpaddle3,"qH2+,h82cfiSf@K",6/2/2002,79
ctrighton4@ning.com,62167710,Cathyleen,Trighton,ctrighton4,cS0|LTB8rnoQO'((,11/1/2001,19
mwellman5@opera.com,85224887,Maggi,Wellman,mwellman5,hE9'={J7314#i,2/7/2002,58
blytlle6@apple.com,63419724,Barri,Lytlle,blytlle6,"dZ4.mipsP""L$@&",10/8/2002,61
scoolbear7@samsung.com,82246431,Sisile,Coolbear,scoolbear7,"wS4,&?7+97,v{6g9",11/22/2000,34
amccoughan8@biglobe.ne.jp,65440243,Ailyn,McCoughan,amccoughan8,mS3@11onovW!9Zb#,2/13/2002,92
ebarrable9@marketwatch.com,95432298,Ellie,Barrable,ebarrable9,gK8{}i(*4@scA#AI,5/29/2001,28
gjeannina@miibeian.gov.cn,89818023,Gaylord,Jeannin,gjeannina,aU6}XI0y?,7/23/2001,59
tcadlockb@ocn.ne.jp,27135251,Thorn,Cadlock,tcadlockb,kQ8%MMHn*A)>,12/12/2000,35
tgreerc@merriam-webster.com,46831834,Toinette,Greer,tgreerc,aX1#s%>d)m,7/11/2001,86
fwhoolehand@unesco.org,61213188,Freda,Whoolehan,fwhoolehand,mY0%PM37c>,11/17/2000,57
hcruddacee@naver.com,32780298,Horacio,Cruddace,hcruddacee,"dX7<v""/=Z7!%)",9/26/2001,2
esteuhlmeyerf@hugedomains.com,58159679,Ermengarde,Steuhlmeyer,esteuhlmeyerf,nO0!quRs',9/30/2002,8
arowenag@odnoklassniki.ru,62662307,Auberta,Rowena,arowenag,jX2/.*+4lb~F,4/21/2001,65
ldymenth@earthlink.net,43822978,Lu,Dyment,ldymenth,cQ9.qGlz>,10/1/2002,21
lcussi@taobao.com,45584145,Lilyan,Cuss,lcussi,bK8<v$3SIS8p{T%B,4/24/2001,93
egonnellyj@paginegialle.it,19514760,Everett,Gonnelly,egonnellyj,nK8\}7@eL~oQDq,10/23/2002,71
ndemseyk@ebay.com,33920424,Ninon,Demsey,ndemseyk,xA7/Y75%2?u,9/16/2002,38
atrengrovel@delicious.com,73661711,Armstrong,Trengrove,atrengrovel,sG2|Km6Qs8H!%tV,9/29/2002,27
rorowanem@gmpg.org,59098181,Rasla,O'Rowane,rorowanem,mE2_sxzUG2\e,8/24/2002,88
htebbuttn@netscape.com,33645406,Hershel,Tebbutt,htebbuttn,uU7*<(8`JJHsg|m,8/6/2002,23
thutchingso@is.gd,23832515,Terza,Hutchings,thutchingso,uS4>#'$6M,12/3/2000,6
dszantop@imgur.com,44153246,Donia,Szanto,dszantop,wA9%{M+D?6,7/10/2002,33
jstraffordq@google.nl,66268497,Jenn,Strafford,jstraffordq,vC0@~bU`5SARt,3/12/2002,34
lgodmarr@stumbleupon.com,27928786,Lillian,Godmar,lgodmarr,uP9+''$jxj4mInD,2/10/2001,34
blafuentes@stumbleupon.com,57184425,Britte,Lafuente,blafuentes,gJ9<`qs_es!?,12/24/2000,95
bsurcombet@1688.com,30092143,Boycie,Surcombe,bsurcombet,rX6\zleb?`Ya,10/19/2001,15
hsilmanu@t.co,10449860,Hailee,Silman,hsilmanu,hA7{b(y\sCPB,2/21/2002,54
cscurryv@usnews.com,86200622,Cacilie,Scurry,cscurryv,zN8\ednKPF},8/13/2002,62
ajezzardw@netscape.com,81195381,Audy,Jezzard,ajezzardw,bO5~_'ml?=b>,5/19/2001,78
dofeenyx@sphinn.com,58441597,Ddene,O'Feeny,dofeenyx,cX1|{T/'Su>x,10/19/2002,14
gpaoloney@jiathis.com,28284671,Gillie,Paolone,gpaoloney,zD1{CelMH#@,10/2/2002,1
griemez@163.com,80482279,Georg,Rieme,griemez,eJ5&NgEc<eO})AX,8/18/2002,41
dgamet10@so-net.ne.jp,12687924,Donnajean,Gamet,dgamet10,"eF0{<Ls{oun""6Tk",8/4/2001,74
tknotton11@skyrock.com,93071598,Tasha,Knotton,tknotton11,xX4?kXJJ8@,9/18/2001,85
rarrington12@cargocollective.com,77151423,Ritchie,Arrington,rarrington12,"lD2\f1ws,`{8",12/8/2001,46
gdesmond13@telegraph.co.uk,19426580,Garald,Desmond,gdesmond13,lI1\G7n_8mfzc,3/17/2001,98
ljanic14@time.com,30895758,Launce,Janic,ljanic14,uU0}Mv~_,1/18/2002,56
hsmead15@g.co,51144113,Hildagard,Smead,hsmead15,yK4.7w.vha,11/11/2001,70
tvigus16@cbsnews.com,24630967,Tove,Vigus,tvigus16,gP9<r*V1,5/8/2001,40
bspiers17@google.com,77345480,Brynna,Spiers,bspiers17,iJ6%=%|_P7pMNE*c,10/26/2001,4
msiggee18@google.com,19845289,Man,Siggee,msiggee18,mO8'y2}k3HV,7/5/2001,10
alawdham19@huffingtonpost.com,75129533,Abbe,Lawdham,alawdham19,gH1$ar!t>c,5/13/2002,84
cwestley1a@cnbc.com,79270619,Curran,Westley,cwestley1a,wU9\DX7BQ'HS,6/13/2002,35
owaren1b@army.mil,77913014,Opalina,Waren,owaren1b,"sA3""8<oqd",7/13/2002,72
bamar1c@paginegialle.it,55531036,Blythe,Amar,bamar1c,vB1`JT{A&(AaS*,4/9/2001,86
schadbourn1d@bloglovin.com,53921260,Stanwood,Chadbourn,schadbourn1d,sV7.%=/\B_}bw>F3,12/10/2001,10
